Wells;SampleID;Zones;Porosity;Permeability_Kl;Rt_Sw100;FF;Temp;Rw;Salinity;Condition;Rock Pressure;Pore Pressure
1PO;26419-17;AC9;22.39790731;161.695;11.10479454;16.47576165;20;0.674007962;9.43;AC;;
1PO;26421-17;AC9;23.3635434;197.524;11.14329609;16.53288494;20;0.674007962;9.43;AC;;
1PO;26422-17;AC9;23.49141143;189.752;10.6463808;15.79563061;20;0.674007962;9.43;AC;;
1PO;26423-17;AC9;22.84140383;147.403;10.21052419;15.14896672;20;0.674007962;9.43;AC;;
1PO;26424-17;AC9;20.82108188;76.514;12.47743789;18.51230043;20;0.674007962;9.43;AC;;
1PO;26425-17;AC9;20.4580754;74.442;13.71916963;20.35461062;20;0.674007962;9.43;AC;;
1PO;26427-17;AC9;22.10599276;86.746;11.62461178;17.24699474;20;0.674007962;9.43;AC;;
1PO;26426-17;AC9;22.24053963;74.581;12.03707618;17.85895249;20;0.674007962;9.43;AC;;
1PO;26428-17;AC9;20.97209124;43.872;11.88065599;17.62687781;20;0.674007962;9.43;AC;;
1PO;26429-17;AC9;20.56699336;16.532;13.34076039;19.79317921;20;0.674007962;9.43;AC;;
1PO;26431-17;AC9;15.95158789;0.322;17.80736887;26.42011648;20;0.674007962;9.43;AC;;
1PO;26432-17;AC9;19.25909666;0.801;15.44512936;22.91535148;20;0.674007962;9.43;AC;;
1PO;26435-17;AC9;15.04601823;0.174;20.96748693;31.10866355;20;0.674007962;9.43;AC;;
1PO;26436-17;AC9;13.75625305;0.16;24.69028813;36.63204221;20;0.674007962;9.43;AC;;
1PO;26437-17;AC9;23.81184672;380.465;10.24138823;15.19475852;20;0.674007962;9.43;AC;;
1PO;26439-17;AC9;23.89050815;294.058;10.70493848;15.88251042;20;0.674007962;9.43;AC;;
1PO;26438-17;AC9;23.71542747;276.275;11.13284613;16.51738073;20;0.674007962;9.43;AC;;
1PO;26440-17;AC9;23.21686425;232.44;10.07372069;14.94599656;20;0.674007962;9.43;AC;;
1PO;26441-17;AC9;23.31827589;287.442;10.10854014;14.99765686;20;0.674007962;9.43;AC;;
1PO;26443-17;AC9;23.61474179;375.918;9.926130449;14.72702253;20;0.674007962;9.43;AC;;
1PO;26442-17;AC9;23.32127856;403.469;9.906418629;14.69777685;20;0.674007962;9.43;AC;;
1PO;26444-17;AC9;23.86175866;410.177;10.95478614;16.25319989;20;0.674007962;9.43;AC;;
1PO;26445-17;AC9;23.79534222;248.101;10.2100283;15.14823099;20;0.674007962;9.43;AC;;
1PO;26446-17;AC9;23.81422837;390.862;9.959538577;14.7765889;20;0.674007962;9.43;AC;;
1PO;26447-17;AC9;22.00115408;72.766;12.67192155;18.80084844;20;0.674007962;9.43;AC;;
1PO;26450-17;AC9;15.94364497;0.408;17.72509679;26.29805251;20;0.674007962;9.43;AC;;
1PO;26451-17;AC9;20.86224013;30.35;12.43555431;18.45015935;20;0.674007962;9.43;AC;;
1PO;26452-17;AC9;15.11273001;0.245;17.55398818;26.04418517;20;0.674007962;9.43;AC;;
1PO;26453-17;AC9;24.01365298;421.907;9.9619382;14.78014913;20;0.674007962;9.43;AC;;
1PO;26454-17;AC9;23.72042304;453.05;10.54866285;15.6506502;20;0.674007962;9.43;AC;;
1PO;26455-17;AC9;23.33495727;419.776;10.33891319;15.33945259;20;0.674007962;9.43;AC;;
1PO;26456-17;AC9;22.84593458;274.316;10.53953533;15.63710804;20;0.674007962;9.43;AC;;
1PO;26457-17;AC9;14.6436131;0.272;23.65417513;35.09480073;20;0.674007962;9.43;AC;;
1PO;26461-17;AC9;17.17196069;0.442;14.05698171;20.85580957;20;0.674007962;9.43;AC;;
1PO;26463-17;AC9;16.36089563;0.176;15.2806157;22.67126881;20;0.674007962;9.43;AC;;
1PO;26464-17;AC9;21.90901045;11.331;11.88300568;17.63036395;20;0.674007962;9.43;AC;;
1PO;26466-17;AC9;22.12626006;30.406;11.61388781;17.23108398;20;0.674007962;9.43;AC;;
2PO;23782-18;AC9;12.77518712;0.171;13.88849754;36.55829517;20;0.379900033;17.6;AC;;
2PO;23802-18;AC9;12.34020268;0.867;14.69006596;38.66824082;20;0.379900033;17.6;AC;;
2PO;23805-18;AC9;12.79666598;0.22;15.35114166;40.4083715;20;0.379900033;17.6;AC;;
3PO;24829-18;AC9;14.50989793;0.441;10.35041394;27.81350531;20;0.372136263;18;AC;;
3PO;24832-18;AC9;21.48540669;57.663;6.156938547;16.5448497;20;0.372136263;18;AC;;
3PO;24833-18;AC9;20.97249993;53.4;6.556963813;17.61979269;20;0.372136263;18;AC;;
3PO;24834-18;AC9;21.77173198;78.555;6.233521314;16.75064197;20;0.372136263;18;AC;;
3PO;24835-18;AC9;20.97532153;32.91;6.718346866;18.05345925;20;0.372136263;18;AC;;
3PO;24836-18;AC9;20.10375486;27.739;7.073451852;19.007693;20;0.372136263;18;AC;;
3PO;24839-18;AC9;20.38145705;19.725;7.093750718;19.06223987;20;0.372136263;18;AC;;
3PO;24840-18;AC9;21.17665347;51.97;6.833597186;18.36315849;20;0.372136263;18;AC;;
3PO;24841-18;AC9;21.40973949;71.8;6.36872593;17.11396216;20;0.372136263;18;AC;;
3PO;24843-18;AC9;20.09711583;27.167;7.564357695;20.32684916;20;0.372136263;18;AC;;
3PO;24844-18;AC9;20.22341168;27.546;7.811234919;20.99025461;20;0.372136263;18;AC;;
3PO;24845-18;AC9;19.75249968;25.996;7.365389045;19.79218304;20;0.372136263;18;AC;;
3PO;24846-18;AC9;18.23171443;7.882;8.641849485;23.22227187;20;0.372136263;18;AC;;
3PO;24847-18;AC9;19.80572367;19.529;7.252710834;19.48939554;20;0.372136263;18;AC;;
3PO;24848-18;AC9;18.00964016;5.344;8.418912006;22.62319702;20;0.372136263;18;AC;;
3PO;24849-18;AC9;10.95063473;0.42;19.21608412;51.6372254;20;0.372136263;18;AC;;
3PO;24850-18;AC9;19.07434583;10.51;7.587714936;20.38961445;20;0.372136263;18;AC;;
3PO;24851-18;AC9;18.96097905;10.303;7.885104773;21.18875677;20;0.372136263;18;AC;;
3PO;24857-18;AC9;13.69131458;0.232;14.75615489;39.65255831;20;0.372136263;18;AC;;
3PO;24858-18;AC9;19.9756128;10.953;7.174150557;19.27828933;20;0.372136263;18;AC;;
3PO;24859-18;AC9;19.28880054;8.757;7.59627569;20.4126188;20;0.372136263;18;AC;;
3PO;24860-18;AC9;19.88120244;12.535;7.256961165;19.50081698;20;0.372136263;18;AC;;
3PO;24862-18;AC9;20.10761389;11.107;7.209676439;19.37375404;20;0.372136263;18;AC;;
3PO;24863-18;AC9;20.37860754;11.155;6.867939546;18.45544286;20;0.372136263;18;AC;;
3PO;24864-18;AC9;20.24718722;12.419;7.189108167;19.31848324;20;0.372136263;18;AC;;
3PO;24865-18;AC9;20.5132448;13.37;7.066978482;18.99029784;20;0.372136263;18;AC;;
3PO;24866-18;AC9;20.61505409;13.651;6.826446508;18.34394327;20;0.372136263;18;AC;;
3PO;24867-18;AC9;19.69810425;9.512;7.564568424;20.32741543;20;0.372136263;18;AC;;
3PO;24868-18;AC9;18.17845699;4.524;7.581641934;20.37329515;20;0.372136263;18;AC;;
3PO;24869-18;AC9;16.60518456;2.314;8.765114152;23.55350718;20;0.372136263;18;AC;;
3PO;24870-18;AC9;17.70192302;3.176;7.3427571;19.73136676;20;0.372136263;18;AC;;
3PO;24871-18;AC9;15.32839113;0.254;11.81007758;31.73589552;20;0.372136263;18;AC;;
