Well;Depth_Original;Depth;Formation;SampleID;Permeability_Kl;Permeability Kl;Porosity;CP;SW
1PO;2506.41;2507.31;AC11;29701-17;0.273;0.185;12.20948002;0.026942866;97.40239896
1PO;2506.41;2507.31;AC11;29701-17;0.273;0.185;12.20948002;0.065478124;96.05775842
1PO;2506.41;2507.31;AC11;29701-17;0.273;0.185;12.20948002;0.156579636;94.63289785
1PO;2506.41;2507.31;AC11;29701-17;0.273;0.185;12.20948002;0.37528423;93.15073726
1PO;2506.41;2507.31;AC11;29701-17;0.273;0.185;12.20948002;0.896340021;91.15287646
1PO;2506.41;2507.31;AC11;29701-17;0.273;0.185;12.20948002;2.147868812;85.42073497
1PO;2506.41;2507.31;AC11;29701-17;0.273;0.185;12.20948002;4.209822871;75.60631064
1PO;2506.41;2507.31;AC11;29701-17;0.273;0.185;12.20948002;8.117088351;66.82710673
1PO;2506.41;2507.31;AC11;29701-17;0.273;0.185;12.20948002;19.98054962;58.85476354
1PO;2509.65;2510.55;AC11;29712-17;0.536;0.379;9.613652354;0.026942866;97.02975094
1PO;2509.65;2510.55;AC11;29712-17;0.536;0.379;9.613652354;0.065478124;95.86333947
1PO;2509.65;2510.55;AC11;29712-17;0.536;0.379;9.613652354;0.156579636;94.73970346
1PO;2509.65;2510.55;AC11;29712-17;0.536;0.379;9.613652354;0.37528423;92.21523403
1PO;2509.65;2510.55;AC11;29712-17;0.536;0.379;9.613652354;0.896340021;86.35478244
1PO;2509.65;2510.55;AC11;29712-17;0.536;0.379;9.613652354;2.147868812;72.16251575
1PO;2509.65;2510.55;AC11;29712-17;0.536;0.379;9.613652354;4.209822871;62.19362341
1PO;2509.65;2510.55;AC11;29712-17;0.536;0.379;9.613652354;8.117088351;55.38211067
1PO;2509.65;2510.55;AC11;29712-17;0.536;0.379;9.613652354;19.98054962;50.89155926
1PO;2568.81;2570.21;AC12;29722-17;0.45;0.307;15.4288983;0.026942866;98.36496899
1PO;2568.81;2570.21;AC12;29722-17;0.45;0.307;15.4288983;0.065478124;97.46288292
1PO;2568.81;2570.21;AC12;29722-17;0.45;0.307;15.4288983;0.156579636;96.37912673
1PO;2568.81;2570.21;AC12;29722-17;0.45;0.307;15.4288983;0.37528423;94.06753117
1PO;2568.81;2570.21;AC12;29722-17;0.45;0.307;15.4288983;0.896340021;90.20641483
1PO;2568.81;2570.21;AC12;29722-17;0.45;0.307;15.4288983;2.147868812;82.50768653
1PO;2568.81;2570.21;AC12;29722-17;0.45;0.307;15.4288983;4.209822871;73.22990666
