Fields;Wells;Direction;SampleID;Depth;Zones;Lith Description;Bulk Density Water;Grain Desnsity Water;Bulk Density Kerosin;Grain Desnsity Kerosin;Bulk Density Helium;Grain Desnsity Helium;Bulk Density;Bulk Density Sat;Grain Desnsity;Water Porosity;Kerosin Porosity;Helium Porosity;Porosity;Gas Permeability;Permeability_Kl;Swirr(waterholding capacity);Swirr;Comments;SW;SO
Zapadno-Zimnee;1PO;пар;26296-17;2268.77;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, алевритистый.;;;;;;;2.096926548;2.319631694;2.661412512;21.21001391;;20.59;21.21001391;100.511;97.882;;24.37474937;;;
Zapadno-Zimnee;1PO;пар;26297-17;2268.77;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, алевритистый.;;;;;;;2.080717095;2.3092916;2.659709206;21.76900053;;21.33;21.76900053;115.067;112.238;;23.59431135;;;
Zapadno-Zimnee;1PO;пар;26298-17;2268.89;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, алевритистый.;;;;;;;2.116059666;2.333196917;2.667741656;20.67973818;;20.52;20.67973818;93.512;90.937;;;;52.8;
Zapadno-Zimnee;1PO;пар;26299-17;2268.97;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, алевритистый.;;;;;;;2.117561904;2.332454506;2.662459946;20.46596204;;20.35;20.46596204;98.422;95.841;;;;;
Zapadno-Zimnee;1PO;пар;26300-17;2268.97;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, алевритистый.;;;;;;;2.106145822;2.325450546;2.662171288;20.8861642;;20.33;20.8861642;100.035;97.416;;;;;
Zapadno-Zimnee;1PO;пар;26302-17;2269.08;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, алевритистый.;;;;;;;2.130248151;2.340856968;2.664741544;20.0579825;;19.95;20.0579825;86.147;83.736;;;;;
Zapadno-Zimnee;1PO;пар;26301-17;2269.08;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, алевритистый.;;;;;;;2.119568155;2.333474091;2.661837536;20.3719939;;19.73;20.3719939;83.421;81.046;;;;;
Zapadno-Zimnee;1PO;пар;26303-17;2269.15;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, алевритистый, с прерывистыми слойками углистого материала.;;;;;;;2.127258585;2.340475855;2.669296861;20.30640669;;19.32;20.30640669;74.664;72.423;;25.67359507;;45.7;
Zapadno-Zimnee;1PO;пар;26304-17;2269.32;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, глинисто-алевритовый, с углистыми растительными остатками;;;;;;;2.157337921;2.357238418;2.664634917;19.03814262;;18.08;19.03814262;26.2;24.99;;;;;
Zapadno-Zimnee;1PO;пар;26305-17;2269.32;AC9;Песчаник нефтенасыщенный, мелко-тонкозернистый, глинисто-алевритовый, с углистыми растительными остатками;;;;;;;2.146891515;2.351494644;2.666482652;19.48601229;;19.29;19.48601229;35.338;33.281;;;;;
