Well;SampleID;Zone;Porosity;Permeability_Kl;Rt;Sw;RI;Temp;Rw;Salinity;Condition
8PO;24526-18;AC9;9.738897854;0.319;27.66780886;93.18469724;1.129235358;20;0.379900033;17.6;AC
8PO;24334-18;AC8;12.33171465;0.054;17.20008978;96.17674726;1.148517892;20;0.379900033;17.6;AC
8PO;24348-18;AC8;12.60684793;0.813;16.34852334;92.44589159;1.116082343;20;0.379900033;17.6;AC
1PO;29722-17;AC12;15.4288983;0.45;11.72016618;0.940675312;1.098688044;20;0.379900033;17.6;AC
1PO;29733-17;AC12;17.89403974;3.922;11.61661475;0.847020677;1.372391537;20;0.379900033;17.6;AC
1PO;29737-17;AC12;20.00425721;10.725;12.57844762;0.705457288;1.76210848;20;0.379900033;17.6;AC
1PO;29738-17;AC12;19.2156809;6.596;11.38146266;0.773755656;1.497261426;20;0.379900033;17.6;AC
1PO;29742-17;AC12;17.69332072;3.134;9.558078771;0.894385636;1.190194876;20;0.379900033;17.6;AC
1PO;29746-17;AC12;20.3776536;16.784;14.18090141;0.641976763;2.18277298;20;0.379900033;17.6;AC
1PO;29756-17;AC12;17.72927575;4.25;11.10931889;0.824767819;1.407106039;20;0.379900033;17.6;AC
1PO;29761-17;AC12;18.5467496;3.999;9.072478526;0.865532751;1.206179594;20;0.379900033;17.6;AC
1PO;29767-17;AC12;17.92955215;2.59;9.690738089;0.914213554;1.123997704;20;0.379900033;17.6;AC
1PO;29770-17;AC12;19.93254653;8.053;10.71143948;0.766581664;1.536508822;20;0.379900033;17.6;AC
1PO;29779-17;AC12;14.51715561;0.551;12.09012484;0.92979775;1.17558048;20;0.379900033;17.6;AC
1PO;29792-17;AC12;19.16603308;1.762;9.047477968;0.935232442;1.103057781;20;0.379900033;17.6;AC
1PO;29799-17;AC12;18.744285;3.056;9.289481321;0.898880139;1.226039997;20;0.379900033;17.6;AC
1PO;29808-17;AC12;18.53522441;2.674;8.828464018;0.928794067;1.174907076;20;0.379900033;17.6;AC
1PO;29813-17;AC12;18.04277829;2.089;9.174689024;0.94309963;1.110065584;20;0.379900033;17.6;AC
1PO;29819-17;AC12;17.87307132;3.357;9.199441169;0.905816945;1.140133306;20;0.379900033;17.6;AC
1PO;29827-17;AC12;18.32809704;5.68;11.02212096;0.804078358;1.441411373;20;0.379900033;17.6;AC
1PO;29836-17;AC12;18.7978384;4.895;9.627159983;0.836608577;1.302703431;20;0.379900033;17.6;AC
1PO;29850-17;AC12;18.20852622;5.585;12.30755776;0.763120216;1.620120251;20;0.379900033;17.6;AC
1PO;29858-17;AC12;16.97261051;0.974;9.562704392;0.943631887;1.091515657;20;0.379900033;17.6;AC
1PO;29864-17;AC12;20.20532384;28.692;14.48492737;0.632180141;2.150527809;20;0.379900033;17.6;AC
1PO;29871-17;AC12;18.1804332;2.119;9.18358447;0.935281246;1.092362546;20;0.379900033;17.6;AC
3PO;25204-18;AC12;19.97898713;7.895;12.9704933;72.52308692;1.722975654;20;0.379900033;17.6;AC
3PO;25207-18;AC12;19.55632977;5.835;12.94506306;72.39784946;1.694275967;20;0.379900033;17.6;AC
3PO;25212-18;AC12;19.14973682;5.008;12.46270393;76.25376099;1.615761979;20;0.379900033;17.6;AC
3PO;25217-18;AC12;15.25037662;0.195;12.9562355;94.85872017;1.085715707;20;0.379900033;17.6;AC
3PO;25224-18;AC12;19.09696217;3.733;12.37701243;78.09383693;1.537887335;20;0.379900033;17.6;AC
3PO;25225-18;AC12;19.13194088;5.534;13.87070478;74.69538608;1.687936013;20;0.379900033;17.6;AC
3PO;25229-18;AC12;18.7639812;5.325;12.53121927;75.34861294;1.61534017;20;0.379900033;17.6;AC
3PO;25233-18;AC12;17.75717015;2.194;10.34187859;89.07617253;1.209968789;20;0.379900033;17.6;AC
3PO;25235-18;AC12;18.61095421;2.863;12.63674843;81.77947539;1.44532965;20;0.379900033;17.6;AC
3PO;25269-18;AC12;19.31538343;6.352;13.59524764;75.11269997;1.606091805;20;0.379900033;17.6;AC
3PO;25292-18;AC12;11.60975523;0.036;19.23701717;96.37085256;1.082573343;20;0.379900033;17.6;AC
